transaction_id,customer_id,product_category,product_name,sale_date,price,quantity,discounts,payment_methods
1001,C-001,Apparel,Socks,2024-01-12 16:59:37,1363.95,1,"[{""type"": ""promo"", ""value"": 0.18}, {""type"": ""loyalty"", ""value"": 0.1}]","[""Gift Card"", ""PayPal"", ""Debit Card""]"
1002,C-002,Apparel,Sneakers,2024-01-09 17:58:35,519.58,1,[],"[""Credit Card""]"
1003,C-003,Books,1984,2024-01-19 21:14:56,655.34,3,[],"[""Gift Card"", ""Debit Card""]"
1004,C-004,Apparel,Socks,2024-01-16 03:59:10,628.43,5,"[{""type"": ""promo"", ""value"": 0.18}, {""type"": ""seasonal"", ""value"": 0.11}]","[""Cash""]"
1005,C-005,Apparel,Jeans,2024-01-10 00:06:31,318.93,1,[],"[""Cash""]"
1006,C-006,Books,1984,2024-01-29 17:57:27,1198.48,3,"[{""type"": ""promo"", ""value"": 0.12}]","[""Credit Card"", ""Gift Card"", ""Cash""]"
1007,C-007,Home Goods,Lamp,2024-01-14 12:48:04,160.81,5,"[{""type"": ""seasonal"", ""value"": 0.06}, {""type"": ""loyalty"", ""value"": 0.14}]","[""Credit Card""]"
1008,C-008,Books,Pride and Prejudice,2024-01-24 09:35:58,43.05,3,"[{""type"": ""loyalty"", ""value"": 0.17}, {""type"": ""promo"", ""value"": 0.14}]","[""Cash"", ""Credit Card""]"
1009,C-009,Electronics,Laptop,2024-01-29 03:43:11,195.0,4,"[{""type"": ""bulk"", ""value"": 0.1}]","[""Credit Card"", ""PayPal"", ""Gift Card""]"
1010,C-010,Home Goods,Blender,2024-01-12 17:56:30,1053.43,1,"[{""type"": ""bulk"", ""value"": 0.08}, {""type"": ""loyalty"", ""value"": 0.14}]","[""Credit Card"", ""Cash""]"
1011,C-011,Home Goods,Lamp,2024-01-20 18:03:04,1461.49,2,"[{""type"": ""promo"", ""value"": 0.14}, {""type"": ""promo"", ""value"": 0.07}]","[""Credit Card""]"
1012,C-012,Electronics,Monitor,2024-01-24 16:46:07,490.0,5,"[{""type"": ""seasonal"", ""value"": 0.17}, {""type"": ""promo"", ""value"": 0.17}]","[""Debit Card""]"
1013,C-013,Books,1984,2024-01-24 17:11:13,1363.02,2,"[{""type"": ""loyalty"", ""value"": 0.15}]","[""Gift Card""]"
1014,C-014,Home Goods,Toaster,2024-01-05 13:28:34,726.68,3,[],"[""Gift Card"", ""PayPal""]"
1015,C-015,Books,The Great Gatsby,2024-01-08 11:04:53,1140.81,4,"[{""type"": ""bulk"", ""value"": 0.16}, {""type"": ""loyalty"", ""value"": 0.15}]","[""Debit Card"", ""Credit Card"", ""PayPal""]"
1016,C-016,Books,The Great Gatsby,2024-01-22 09:37:26,818.62,1,[],"[""PayPal"", ""Debit Card"", ""Gift Card""]"
1017,C-017,Books,Moby Dick,2024-01-15 04:13:11,356.77,5,[],"[""Credit Card"", ""Gift Card"", ""Cash""]"
1018,C-018,Electronics,Headphones,2024-01-26 03:02:11,27.47,3,[],"[""Gift Card"", ""Cash""]"
1019,C-019,Books,Dune,2024-01-05 19:25:28,1056.72,2,[],"[""Cash""]"
1020,C-020,Apparel,Jeans,2024-01-27 21:08:56,1227.75,5,"[{""type"": ""loyalty"", ""value"": 0.17}, {""type"": ""loyalty"", ""value"": 0.08}]","[""Credit Card"", ""Debit Card""]"
1021,C-021,Electronics,Monitor,2024-01-15 20:12:09,1240.01,3,"[{""type"": ""seasonal"", ""value"": 0.16}, {""type"": ""bulk"", ""value"": 0.12}]","[""Gift Card"", ""PayPal"", ""Credit Card""]"
1022,C-022,Electronics,Monitor,2024-01-27 04:59:08,1024.32,3,[],"[""PayPal"", ""Credit Card""]"
